COMID,mean
71028585,1540.53430175781
71028597,1606.42224121094
71028609,1851.7880859375
71028676,1887.36267089844
71028700,1655.12658691406
71028740,1918.70886230469
71028852,1858.00366210938
71028904,1826.9384765625
71028957,1798.77172851562
71028974,1885.56188964844
71029016,1663.63671875
71029022,1542.31921386719
71029071,1618.19006347656
71029528,1948.75964355469
71029778,2173.41064453125
71029798,1651.90197753906
71029857,1706.83374023438
71029963,1930.96203613281
71029992,2073.30834960938
71030026,1809.32678222656
71030071,1970.07202148438
71030100,2038.39660644531
71030270,2220.19140625
71030287,2025.60815429688
71030302,2098.53247070312
71030418,2218.73876953125
71030527,2251.64038085938
71030563,2209.296875
71030690,2162.76440429688
71030774,1954.20715332031
71030784,2190.63403320312
71030838,2256.60888671875
71030896,2289.01611328125
71031094,2223.4140625
71031120,2056.42236328125
71031296,2203.375
71031359,2279.955078125
71031503,2314.30346679688
71031506,2249.58129882812
71031643,2289.58325195312
71031654,2210.85766601562
71031687,2453.431640625
71031838,2369.0224609375
71031893,2115.14819335938
71032102,2301.712890625
71032185,2341.05493164062
71032217,2360.5859375
71032292,2506.07543945312
71032409,2392.701171875
71032422,2376.79541015625
71032440,2310.70532226562
