COMID,majority
71028585,3
71028597,3
71028609,3
71028676,3
71028700,3
71028740,3
71028852,3
71028904,3
71028957,3
71028974,3
71029016,3
71029022,3
71029071,3
71029528,3
71029778,3
71029798,3
71029857,3
71029963,3
71029992,3
71030026,3
71030071,3
71030100,3
71030270,3
71030287,3
71030302,3
71030418,3
71030527,3
71030563,3
71030690,3
71030774,3
71030784,3
71030838,3
71030896,3
71031094,3
71031120,3
71031296,3
71031359,3
71031503,3
71031506,3
71031643,3
71031654,3
71031687,3
71031838,3
71031893,3
71032102,3
71032185,0
71032217,3
71032292,3
71032409,3
71032422,3
71032440,3
