COMID,lat,lon,frac_1,frac_6,frac_8,frac_10,frac_14,frac_16,frac_17,frac_18,frac_19
71028585,51.1675923520923,-115.573618326118,0.563881158828735,0,0.0362951047718525,0.0144332190975547,0,0.00568304723128676,0.337337553501129,0.0423699133098125,0
71028597,51.1770042774213,-115.613003360831,0.502551078796387,0,0.0931566581130028,0.095487616956234,0,0.158516556024551,0.054353192448616,0.0959348604083061,0
71028609,51.1726656568571,-115.649825687632,0.657839775085449,0,0.0107020270079374,0.0603189393877983,0,0.237640604376793,0.00550031242892146,0.0279983039945364,0
71028676,51.1948847202864,-115.754929153741,0.591930091381073,0,0.0205120258033276,0.0992078855633736,0.000119874515803531,0.253236681222916,0.0141721833497286,0.0208212286233902,0
71028700,51.2315339360023,-115.839235184388,0.826838076114655,0,0.0125456135720015,0.024182366207242,0,0.0791382268071175,0.0332019962370396,0.0240937545895576,0
71028740,51.2677974498147,-115.895695485483,0.747568845748901,0,0.0136312358081341,0.0410401783883572,0,0.169740527868271,0.0125896958634257,0.0154295032843947,0
71028852,51.3087116671424,-116.018158397552,0.768092572689056,0,0.00808431580662727,0.0199343506246805,0,0.174062833189964,0.0158010348677635,0.0137105956673622,0.000314307544613257
71028904,51.3510146966855,-116.10112398374,0.86438649892807,0,0.00954058580100536,0.00933674816042185,0,0.0931804329156876,0.0134893441572785,0.0100663499906659,0
71028957,51.3917951569064,-116.124330985915,0.868252694606781,0,0.00572668900713325,0.0263040084391832,0,0.0620797052979469,0.0218172315508127,0.0158197246491909,0
71028974,51.4379526828019,-116.15269816878,0.788811326026917,0,0.0194268561899662,0.0932630971074104,0,0.0724372491240501,0.01996267773211,0.00609874865040183,0
71029016,51.4097199014567,-116.177020672665,0.86094743013382,0,0.0018173058051616,0.00301279523409903,0,0.00545802479609847,0.113110914826393,0.0156535338610411,0
71029022,51.4227884615385,-116.180256410256,0.428034007549286,0,0,0.0367594659328461,0,0,0.521706104278564,0.0135003868490458,0
71029071,51.4421162528217,-116.200753386004,0.868009924888611,0,0.00293098925612867,0.0142468689009547,0,0.0136160962283611,0.0814329534769058,0.0197631064802408,0
71029528,51.5233515605415,-116.281869150581,0.781505227088928,0,0.0116292098537087,0.0452682785689831,0,0.135624244809151,0.00634854612872005,0.0189648866653442,0.000659573765005916
71029778,51.6116902882912,-116.311351935363,0.522306978702545,0,0.00201074685901403,0.0111682433634996,0,0.440326273441315,0.00549057265743613,0.00721943099051714,0.0114777246490121
71029798,51.1452889825406,-115.673966987758,0.880031168460846,0,0.0039135473780334,0.0044631902128458,0,0.0861792117357254,0.013442961499095,0.0119700152426958,0
71029857,51.2047592518236,-115.577004282942,0.610953330993652,0.000167319129104726,0.0260816067457199,0.0904783010482788,0,0.174502521753311,0.0881119221448898,0.00970496796071529,0
71029963,51.1132636048097,-115.677521073509,0.714509963989258,0,0.00216529727913439,0.0629438385367393,0,0.220380932092667,0,0,0
71029992,51.5128003437569,-116.179190563318,0.643696308135986,0,0.0424281358718872,0.0806476026773453,0,0.221932083368301,0.00457716081291437,0.00658681197091937,0.000131826993310824
71030026,51.5654467353952,-116.153341924399,0.997290074825287,0,0.00075868732528761,0.00195118947885931,0,0,0,0,0
71030071,51.0959514170041,-115.6539788574,0.709784626960754,0,0.000673258618917316,0.0363365188241005,0,0.253205597400665,0,0,0
71030100,51.1958433900165,-115.845500091425,0.567381680011749,0,0.0362079814076424,0.0853199362754822,0,0.307931035757065,0.0003711863537319,0.00278818840160966,0
71030270,51.600547629188,-116.143072118115,0.47032043337822,0,0.0433023869991302,0.0751873403787613,0,0.406429380178452,0.000680200406350195,0.00260266964323819,0.00147758610546589
71030287,51.4018479414558,-116.05402952349,0.709076344966888,0,0.0176451094448566,0.056596402078867,0,0.215314999222755,0.000917515601031482,0.000449597049737349,0
71030302,51.1899449710374,-115.909394944708,0.695734560489655,0,0.0315740369260311,0.0548485927283764,0,0.217579513788223,0,0.000263239111518487,0
71030418,51.0164215186804,-115.598883551674,0.430774480104446,0,0.00656076241284609,0.11061829328537,0,0.437017291784286,0.000132906789076515,0.0125159984454513,0.00238023977726698
71030527,51.0358597362562,-115.667375549466,0.463287979364395,0,0.00941479299217463,0.0830130577087402,0,0.432050883769989,0,0.0104191349819303,0.00181412859819829
71030563,51.0596442240779,-115.723370240581,0.438639491796494,0,0.0215883255004883,0.218244507908821,0,0.313989102840424,0.000456493580713868,0.00708207068964839,0
71030690,51.1065732994313,-115.777315384405,0.510574758052826,0,0.0466807410120964,0.192361637949944,6.82138925185427e-05,0.240791901946068,0.00454048858955503,0.00498220883309841,0
71030774,51.1223035189129,-115.599616798499,0.778912007808685,0,0.0169071722775698,0.0201006010174751,0,0.17664623260498,0.000423691264586523,0.00701031414791942,0
71030784,51.1245460549713,-115.901304552152,0.69525408744812,0,0.038116030395031,0.0644001588225365,0,0.174203231930733,0,0.0264013223350048,0.00162516790442169
71030838,51.1534663574323,-115.968905505794,0.469415426254272,0,0.0114689627662301,0.0369739346206188,0,0.426921218633652,0,0.0178963486105204,0.0373241119086742
71030896,51.1477363459474,-115.853183876812,0.491498410701752,0,0.0797885954380035,0.154783055186272,0,0.273226231336594,0.000167551828781143,0.000536165840458125,0
71031094,51.2558967160116,-115.614485990585,0.51591295003891,0,0.044126883149147,0.0545913316309452,0,0.379803776741028,0,0.00556506542488933,0
71031120,51.241999976797,-116.019043807137,0.698209583759308,6.96714996593073e-05,0.00527202198281884,0.0307814385741949,0,0.228013381361961,0.00405972031876445,0.0215401444584131,0.0120540745556355
71031296,51.2737546935475,-115.701851231395,0.466065555810928,0,0.0290643833577633,0.0795822441577911,0,0.419868350028992,0.000154288878547959,0.0052651078440249,0
71031359,51.3244591770388,-116.184460570314,0.372926473617554,0,0.0109898122027516,0.0421408340334892,0,0.503355860710144,0.0035807250533253,0.0266421586275101,0.040364108979702
71031503,51.3639509409568,-116.230047287267,0.369749158620834,0,0.0170501712709665,0.0383041948080063,0,0.521799921989441,0.00169621501117945,0.0205896161496639,0.030810734257102
71031506,51.3373553038256,-115.871350558374,0.424302309751511,0,0.0339430756866932,0.0774787813425064,0,0.457206577062607,0.000613361829891801,0.00415325304493308,0.00230263662524521
71031643,51.3964835582034,-116.254430231879,0.269743680953979,0,0.0215547569096088,0.0447879582643509,0,0.51672351360321,0.00987849943339825,0.038184754550457,0.0991267710924149
71031654,51.4529376287144,-116.113206678435,0.477350145578384,0,0.0802837982773781,0.12313998490572,0,0.31169804930687,0.00209747068583965,0.00453229155391455,0.000898270169273019
71031687,51.3975736284889,-115.999370227783,0.15760800242424,0,0,0.0762005299329758,0,0.74498724937439,0,0.00966569222509861,0.0115385372191668
71031838,51.4618402204994,-116.012216265259,0.229322776198387,0,0.0685270354151726,0.14135617017746,0,0.538173496723175,0,0.0215941909700632,0.00102639012038708
71031893,51.4812741637568,-116.317553577754,0.460391044616699,0,0.0063805291429162,0.0216741356998682,7.63692951295525e-05,0.408561408519745,0.00537475943565369,0.00947108864784241,0.0880706906318665
71032102,51.538594011375,-116.095912791346,0.447694540023804,0,0.0295277014374733,0.0584134832024574,0,0.433256983757019,0.000280847103567794,0.0159202814102173,0.0149061558768153
71032185,51.5923866926226,-116.413783193571,0.158665418624878,0,0.00680855615064502,0.0382077991962433,0,0.508456408977509,0.000100681048934348,0.0948305577039719,0.192930549383163
71032217,51.5976772481789,-116.224404907687,0.302158892154694,0,0.0332480855286121,0.136706605553627,0,0.464920401573181,0.000190022314200178,0.00465554650872946,0.0581204071640968
71032292,51.6257915185727,-116.088587009548,0.106859497725964,0,0.0088944835588336,0.0639553517103195,0,0.748176872730255,0.000422018289100379,0.00432568741962314,0.0673661381006241
71032409,51.6616688336313,-116.176103865323,0.228040307760239,0,0.0591577813029289,0.101935334503651,8.20776331238449e-05,0.587696135044098,0.000205194082809612,0.0135154500603676,0.00936770532280207
71032422,51.6707103624405,-116.304323222782,0.221360489726067,0,0.0367836765944958,0.0983819514513016,0,0.633836627006531,0.00108070892747492,0.00265073124319315,0.0059058079496026
71032440,51.6657032004529,-116.444195307557,0.334394156932831,0,0.0218544397503138,0.0541291534900665,0,0.454246133565903,0.00606011413037777,0.0415465608239174,0.087769404053688
